t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,3,Situation maîtrisée
0.10,0.2,7.1,SAFE,3,Situation maîtrisée
0.15,0.3,8.8,SAFE,3,Situation maîtrisée
0.20,0.4,10.6,SAFE,3,Situation maîtrisée
0.25,0.6,12.3,SAFE,3,Situation maîtrisée
0.30,0.7,14.1,SAFE,3,Situation maîtrisée
0.35,1.0,15.9,SAFE,3,Situation maîtrisée
0.40,1.2,17.6,SAFE,3,Situation maîtrisée
0.45,1.5,19.4,SAFE,3,Situation maîtrisée
0.50,1.7,21.2,SAFE,3,Situation maîtrisée
0.55,2.0,22.9,SAFE,3,Situation maîtrisée
0.60,2.3,16.0,SAFE,3,Situation maîtrisée
0.65,2.4,0.6,SAFE,3,Situation maîtrisée
0.70,2.4,0.9,SAFE,3,Situation maîtrisée
0.75,2.4,0.9,SAFE,3,Situation maîtrisée
0.80,2.4,0.8,SAFE,3,Situation maîtrisée
0.85,2.4,3.4,SAFE,3,Situation maîtrisée
0.90,2.5,5.4,SAFE,3,Situation maîtrisée
0.95,2.6,7.1,SAFE,3,Situation maîtrisée
1.00,2.7,8.2,SAFE,3,Situation maîtrisée
1.05,2.8,9.3,SAFE,3,Situation maîtrisée
1.10,3.0,10.2,SAFE,3,Situation maîtrisée
1.15,3.1,11.1,SAFE,3,Situation maîtrisée
1.20,3.3,11.8,SAFE,3,Situation maîtrisée
1.25,3.4,12.6,SAFE,3,Situation maîtrisée
1.30,3.6,13.3,SAFE,3,Situation maîtrisée
1.35,3.8,13.9,SAFE,3,Situation maîtrisée
1.40,4.0,14.4,SAFE,3,Situation maîtrisée
1.45,4.2,14.9,SAFE,3,Situation maîtrisée
1.50,4.4,15.4,SAFE,3,Situation maîtrisée
1.55,4.6,15.8,SAFE,4,Situation maîtrisée
1.60,4.9,16.2,SAFE,4,Situation maîtrisée
1.65,5.1,16.6,SAFE,4,Situation maîtrisée
1.70,5.3,16.9,SAFE,4,Situation maîtrisée
1.75,5.6,17.2,SAFE,4,Situation maîtrisée
1.80,5.8,17.5,SAFE,4,Situation maîtrisée
1.85,6.0,17.7,SAFE,4,Situation maîtrisée
1.90,6.3,17.9,SAFE,4,Situation maîtrisée
1.95,6.5,18.2,SAFE,4,Situation maîtrisée
2.00,6.8,18.1,SAFE,4,Situation maîtrisée
2.05,7.0,18.3,SAFE,4,Situation maîtrisée
2.10,7.3,17.9,SAFE,4,Situation maîtrisée
2.15,7.5,18.3,SAFE,4,Situation maîtrisée
2.20,7.8,17.9,SAFE,4,Situation maîtrisée
2.25,8.1,18.4,SAFE,4,Situation maîtrisée
2.30,8.3,18.0,SAFE,4,Situation maîtrisée
2.35,8.6,18.5,SAFE,4,Situation maîtrisée
2.40,8.8,18.3,SAFE,4,Situation maîtrisée
2.45,9.1,18.2,SAFE,4,Situation maîtrisée
2.50,9.3,18.0,SAFE,4,Situation maîtrisée
2.55,9.6,18.6,SAFE,4,Situation maîtrisée
2.60,9.8,18.6,SAFE,4,Situation maîtrisée
2.65,10.1,18.5,SAFE,4,Situation maîtrisée
2.70,10.3,18.3,SAFE,4,Situation maîtrisée
2.75,10.6,18.4,SAFE,4,Situation maîtrisée
2.80,10.9,18.2,SAFE,4,Situation maîtrisée
2.85,11.1,18.3,SAFE,4,Situation maîtrisée
2.90,11.4,18.2,SAFE,4,Situation maîtrisée
2.95,11.6,18.3,SAFE,4,Situation maîtrisée
3.00,11.9,18.2,SAFE,4,Situation maîtrisée
3.05,12.1,18.4,SAFE,4,Situation maîtrisée
3.10,12.4,18.3,SAFE,4,Situation maîtrisée
3.15,12.6,18.4,SAFE,4,Situation maîtrisée
3.20,12.9,18.4,SAFE,4,Situation maîtrisée
3.25,13.1,18.5,SAFE,3,Situation maîtrisée
3.30,13.4,18.5,SAFE,3,Situation maîtrisée
3.35,13.7,18.6,SAFE,3,Situation maîtrisée
3.40,13.9,18.5,SAFE,3,Situation maîtrisée
3.45,14.2,18.7,SAFE,3,Situation maîtrisée
3.50,14.4,18.6,SAFE,3,Situation maîtrisée
3.55,14.7,18.7,SAFE,3,Situation maîtrisée
3.60,15.0,18.7,SAFE,3,Situation maîtrisée
3.65,15.2,18.8,SAFE,3,Situation maîtrisée
3.70,15.5,18.7,SAFE,3,Situation maîtrisée
3.75,15.7,18.8,SAFE,3,Situation maîtrisée
3.80,16.0,18.8,SAFE,3,Situation maîtrisée
3.85,16.3,18.9,SAFE,3,Situation maîtrisée
3.90,16.5,18.8,SAFE,3,Situation maîtrisée
3.95,16.8,18.9,SAFE,3,Situation maîtrisée
4.00,17.0,18.9,SAFE,3,Situation maîtrisée
4.05,17.3,19.0,SAFE,3,Situation maîtrisée
4.10,17.6,18.9,SAFE,3,Situation maîtrisée
4.15,17.8,19.0,SAFE,3,Situation maîtrisée
4.20,18.1,19.0,SAFE,3,Situation maîtrisée
4.25,18.4,19.1,SAFE,3,Situation maîtrisée
4.30,18.6,19.0,SAFE,3,Situation maîtrisée
4.35,18.9,19.1,SAFE,3,Situation maîtrisée
4.40,19.2,19.0,SAFE,3,Situation maîtrisée
4.45,19.4,19.1,SAFE,3,Situation maîtrisée
4.50,19.7,19.0,SAFE,3,Situation maîtrisée
4.55,19.9,19.1,SAFE,3,Situation maîtrisée
4.60,20.2,19.1,SAFE,3,Situation maîtrisée
4.65,20.5,19.2,SAFE,3,Situation maîtrisée
4.70,20.7,19.1,SAFE,3,Situation maîtrisée
4.75,21.0,19.2,SAFE,3,Situation maîtrisée
4.80,21.3,19.1,SAFE,3,Situation maîtrisée
4.85,21.5,19.2,SAFE,3,Situation maîtrisée
4.90,21.8,19.2,SAFE,3,Situation maîtrisée
4.95,22.1,19.2,SAFE,3,Situation maîtrisée
5.00,22.3,19.2,SAFE,3,Situation maîtrisée
5.05,22.6,19.3,SAFE,3,Situation maîtrisée
5.10,22.9,19.2,SAFE,3,Situation maîtrisée
5.15,23.1,19.3,SAFE,3,Situation maîtrisée
5.20,23.4,19.2,SAFE,3,Situation maîtrisée
5.25,23.7,19.3,SAFE,3,Situation maîtrisée
5.30,23.9,19.1,SAFE,3,Situation maîtrisée
5.35,24.2,19.0,SAFE,2,Situation maîtrisée
5.40,24.5,18.6,SAFE,2,Situation maîtrisée
5.45,24.7,18.3,SAFE,2,Situation maîtrisée
5.50,25.0,18.0,SAFE,2,Situation maîtrisée
5.55,25.2,17.8,SAFE,2,Situation maîtrisée
5.60,25.5,17.6,SAFE,2,Situation maîtrisée
5.65,25.7,17.2,SAFE,1,Situation maîtrisée
5.70,25.9,17.0,SAFE,1,Situation maîtrisée
5.75,26.2,16.9,SAFE,1,Situation maîtrisée
5.80,26.4,16.9,SAFE,1,Situation maîtrisée
5.85,26.7,17.1,SAFE,1,Situation maîtrisée
5.90,26.9,17.3,SAFE,1,Situation maîtrisée
5.95,27.1,17.5,SAFE,1,Situation maîtrisée
6.00,27.4,17.8,SAFE,1,Situation maîtrisée
6.05,27.6,18.0,SAFE,1,Situation maîtrisée
6.10,27.9,18.2,SAFE,1,Situation maîtrisée
6.15,28.1,18.2,SAFE,1,Situation maîtrisée
6.20,28.4,18.1,SAFE,1,Situation maîtrisée
6.25,28.6,18.1,SAFE,1,Situation maîtrisée
6.30,28.9,18.2,SAFE,1,Situation maîtrisée
6.35,29.1,18.2,SAFE,1,Situation maîtrisée
6.40,29.4,18.2,SAFE,1,Situation maîtrisée
6.45,29.6,18.0,SAFE,1,Situation maîtrisée
6.50,29.9,18.7,SAFE,1,Situation maîtrisée
6.55,30.2,18.4,SAFE,1,Situation maîtrisée
6.60,30.4,18.4,SAFE,1,Situation maîtrisée
6.65,30.7,18.3,SAFE,1,Situation maîtrisée
6.70,30.9,18.3,SAFE,1,Situation maîtrisée
6.75,31.2,18.3,SAFE,1,Situation maîtrisée
6.80,31.4,18.4,SAFE,1,Situation maîtrisée
6.85,31.7,18.3,SAFE,1,Situation maîtrisée
6.90,31.9,18.5,SAFE,1,Situation maîtrisée
6.95,32.2,18.5,SAFE,1,Situation maîtrisée
7.00,32.5,18.6,SAFE,1,Situation maîtrisée
7.05,32.7,18.6,SAFE,1,Situation maîtrisée
7.10,33.0,18.8,SAFE,1,Situation maîtrisée
7.15,33.2,18.8,SAFE,1,Situation maîtrisée
7.20,33.5,18.9,SAFE,1,Situation maîtrisée
7.25,33.8,18.9,SAFE,1,Situation maîtrisée
7.30,34.0,19.0,SAFE,1,Situation maîtrisée
7.35,34.3,19.0,SAFE,1,Situation maîtrisée
7.40,34.5,19.2,SAFE,1,Situation maîtrisée
7.45,34.8,19.1,SAFE,1,Situation maîtrisée
